id,date,gu,dong,area,floor,built_year,price
0,2023-01-01,서초구,반포동,84.85,19,2009,300000
1,2023-01-01,강남구,일원동,99.79,6,1993,175000
2,2023-01-01,강남구,일원동,99.79,6,1993,175000
3,2023-01-02,은평구,불광동,114.99,18,2018,104500
4,2023-01-02,강동구,상일동,59.97,2,2019,92500
5,2023-01-02,송파구,가락동,43.79,4,1986,70500
6,2023-01-02,강남구,개포동,33.18,2,1992,81700
7,2023-01-02,강남구,개포동,166.48,8,1984,290000
8,2023-01-02,강남구,개포동,49.91,10,2019,129000
9,2023-01-02,영등포구,대림동,14.81,7,2012,10500
10,2023-01-02,동대문구,이문동,18.16,13,2020,29000
11,2023-01-02,동대문구,휘경동,39.98,5,2001,43000
12,2023-01-02,성동구,성수동1가,84.73,13,1990,101000
13,2023-01-02,동대문구,휘경동,39.98,12,2001,43500
14,2023-01-02,은평구,대조동,14.03,11,2020,17000
15,2023-01-02,은평구,대조동,29.99,9,2021,40000
16,2023-01-02,관악구,봉천동,84.7,19,2004,95000
17,2023-01-03,구로구,온수동,84.97,12,2010,90000
18,2023-01-03,노원구,월계동,50.18,4,1987,50000
19,2023-01-03,동대문구,이문동,84.84,2,2008,60000
20,2023-01-03,중랑구,묵동,84.47,6,2006,54000
21,2023-01-03,동작구,상도동,84.99,13,2003,84000
22,2023-01-03,강남구,개포동,74.25,10,1983,210000
23,2023-01-03,금천구,시흥동,84.84,11,2002,59000
24,2023-01-03,동작구,흑석동,84.33,7,1988,115000
25,2023-01-03,강남구,개포동,83.7,10,1983,200000
26,2023-01-03,송파구,신천동,84.79,22,2008,172000
27,2023-01-03,강남구,대치동,76.79,12,1979,186000
28,2023-01-03,송파구,잠실동,82.61,1,1978,217500
29,2023-01-03,금천구,시흥동,84.84,11,2002,59000
30,2023-01-03,광진구,자양동,243.94,42,2007,420000
31,2023-01-03,강남구,개포동,33.18,14,1992,83000
32,2023-01-03,성동구,마장동,59.91,14,1998,67000
33,2023-01-03,서초구,반포동,140.33,3,1974,545000
34,2023-01-03,강북구,미아동,59.98,15,2004,51000
35,2023-01-03,중구,황학동,16.37,14,2013,13500
36,2023-01-03,강동구,명일동,131.83,12,1986,115000
37,2023-01-03,강동구,암사동,59.94,15,1999,72000
38,2023-01-03,송파구,가락동,39.12,17,2018,95000
39,2023-01-03,구로구,구로동,15.92,4,2012,11600
40,2023-01-03,구로구,구로동,84.23,5,2003,63000
41,2023-01-03,구로구,구로동,47.34,3,1987,57000
42,2023-01-03,강동구,길동,15.86,6,2014,11000
43,2023-01-03,은평구,대조동,29.99,10,2021,40500
44,2023-01-03,노원구,하계동,64.88,6,1989,59970
45,2023-01-03,노원구,상계동,58.01,6,1988,58000
46,2023-01-03,노원구,상계동,41.3,8,1989,39900
