track_id,genre,era
4Za5hZBGX6z9a7X95PEFI2,r&b,2000s
5GjisoOfsN8qagrax01T4y,r&b,2010s
33iv3wnGMrrDugd7GBso1z,rock,~2000
3Dkfcd3DbXGVmM05KCRuFA,rap,2010s
6jtctBYvybxCAmlg7nT6CS,rock,~2000
6ygcYdLszK2DJUU7BWuCxx,r&b,~2000
3DkaXDmC0qaFNAxgLMuwX4,r&b,2000s
7nAO8p9s39A3lYXhRezK98,edm,2010s
6mFkJmJqdDVQ1REhVfGgd1,rock,~2000
3YZa4IzxK2UtEKTvdTgsi8,rock,~2000
12co6NHVYEfsx3BgYxEsnV,r&b,~2000
6P4uWkUqr0M6eVYjmbKdAf,r&b,2010s
4tRFdhdqMUkGfnAkis3lNv,latin,2010s
1O259SGmDCaaAtux8bZzNE,pop,2010s
5qFPs70nZD1fQZOi7u7cIZ,pop,2000s
5ZpDC6e5U9zYGnF0Jxu4Kf,pop,2010s
5Q3e16qE1RE5oilN3ukasm,latin,2010s
1nIi1HOE4MdaoOIBVGabCg,pop,2000s
1UDuqitpv6oyNpzrvbLdLt,latin,2000s
2vajU8g5DJCuthr5pb7RVT,latin,2010s
5fSDXbY8o9pA3TKwAbfwML,latin,2000s
26NX1wPt1TRCH536yocd6i,r&b,2000s
1CRy08G60mS5jvhB27xMpS,pop,2010s
5hbSMXk4g4OEHjDoVdXrYl,r&b,~2000
5GZEeowhvSieFDiR8fQ2im,r&b,2000s
7givkGZW1cwM8MJYzMd2Na,rap,2010s
5iKYZAcAchghry6h8Iu5IL,r&b,~2000
6QffQWx4dzqk7rL57A4FMB,rap,2000s
2AaknMNIfzMqZGvbcDsJHZ,rap,~2000
6aRlUgqcLgrxQE3RMngjN5,rap,2010s
5ryUbYQzdRRw0iJ2P5Or55,rap,~2000
5YzK2kmIM7cdpRbv0iGaEs,r&b,2000s
3x2bXiU0o4WbsPkawXlfDA,rock,~2000
6Ilj7C4daCLIoT7swUqfSU,edm,2010s
3ojDU1HhKEfdExIN6QsK8q,r&b,~2000
15ToEAfwSo83rtBLdhNOQH,pop,2000s
0NBHHa8wwwmBnn3aAzX5wJ,r&b,2000s
4zkd33S3lelpqt1lyMD8u8,edm,2010s
70YvYr2hGlS01bKRIho1HM,rock,~2000
2aibwv5hGXSgw7Yru8IYTO,rock,2000s
6zyXhzPJg7dCGuC5ToIxqN,r&b,2010s
5ghMfHMHakVS0omjj2cBSA,rock,2000s
0TgSQ4AWBShqMjYww6D8Yf,edm,2010s
4GqvWKAq6uKAcivJGnNAhR,edm,2010s
1StVUopuLYusKECak8YT8J,rock,2000s
3VzTYgGGaFVgCtQiUEcLcR,edm,2010s
5HzekjQF7xLqBVeynqprDk,latin,2000s
3FPiGFT19WRb4D0bZlw9PJ,rock,2010s
6Ipaqc1ybISGpoJ8E9Qs0E,pop,~2000
29VrHhpC5AS9b7XJYDPhqb,r&b,~2000
0LHItNoPqjxWcbvQzw9NIv,rock,~2000
4c3HJBKJPjQSnXVEd0jNi6,r&b,~2000
6gT6ZGqtaFWnFnuWTVx5us,edm,2010s
3cuy0jpSxGAoTuJE0KORoR,rap,~2000
5nchmPYCCHoHS2AdmHv1Xg,rock,~2000
34GfAO0JtCmZP6567yODfc,rap,2000s
52dm9op3rbfAkc1LGXgipW,rock,~2000
5pBvNeOAJ54zgd5lEOmM3b,rap,2000s
75Eyxd1VgJKKIqMILFQ8mL,rock,~2000
54b8qPFqYqIndfdxiLApea,rock,~2000
5UWwZ5lm5PKu6eKsHAGxOk,rock,~2000
4nnGzheGSMqpLiMStHQkNB,pop,2010s
2u9vZyQU7Ld88MJ35nS55u,rock,~2000
3ZFTkvIE7kyPt6Nu3PEa7V,latin,2000s
5fSDXbY8o9pA3TKwAbfwML,latin,2000s
0fjjBq3yZ16Z441IL5o2oX,edm,2020s
4oJEy4qDPwDk5ac26yEMeL,r&b,~2000
6GtPHjrFtw9uaMgDbWp0dn,rap,~2000
3pyoAvbBO4kDKkh999Miyj,rock,~2000
24vNw0Z0srb4zYXwrakw8E,rap,~2000
09iWF1Hs988cmZneyLeZ2V,r&b,2010s
5aFLEMNvORv8MXpd4lR0HQ,r&b,~2000
5PycBIeabfvX3n9ILG7Vrv,latin,2010s
0eFvoRSTTaR2q8bSWVjwfp,rock,2000s
1QFh8OH1e78dGd3VyJZCAC,pop,~2000
0v9kGNjkKdQUdDoBIuiph4,rap,~2000
5o61LLrnFaGbcEbecemBIo,rap,2000s
33WcWOuiExw6XujNwQ8NaK,latin,2020s
6MdqqkQ8sSC0WB4i8PyRuQ,r&b,~2000
1bFY36a62kXGJqNcN5aJkW,pop,2010s
48PBqbMjiYPq3VsY7vG5n4,rock,~2000
4tKqSkln4W66s7f7S6Ng8X,rock,2010s
48UPSzbZjgc449aqz8bxox,rock,~2000
1L94M3KIu7QluZe63g64rv,rock,~2000
2kOupHwtD01Wle9xOYfD3V,pop,~2000
6HD523FPLEolYCPUqUQeEs,edm,2020s
5Uf6OfGfz436zAegn1kui6,rock,~2000
3xSdEH8yjB0hiCcj9CG0xR,r&b,2000s
5bycn7SuJzYnxte0W54mNX,rock,~2000
6QsaoM6upioGbe4WZhLCmc,rock,2010s
1bp2IO61zbQrbWNmKKxg3f,rock,~2000
0UgHTPXcW728KHbr7JbKr7,pop,2010s
70ATI6K6i1TXfRfID7bcN0,pop,2000s
2msar6CW5wBQlhm3YCYPTa,rock,~2000
0Qp37xG9JmIpYURi8xJl3E,rap,2000s
34MRi5GRWHFUa731JBxFEl,rap,~2000
2kJwzbxV2ppxnQoYw4GLBZ,latin,2010s
6GrPaW2OIHuweYcVRoYbmv,latin,2000s
69ghzc538EQSVon2Gm3wrr,latin,2000s
7ygrDIOwwM4gtNf8Pz6kxW,rap,~2000
1oDmijc0b8mzn2Z4bW6gOS,pop,2000s
4n5QvgYuN2oCSythoCXZeV,rock,~2000
5XI2EIihxzTlKLR4UUhedn,rock,2010s
1HpIBHs03kKCxlrPthWXmL,latin,2000s
205YMaOKeRMN66gQvqw2Cx,rap,2010s
1lrXyBS39TE6tOoYgS6I5x,rap,2010s
284kpyWYh7ZKKLeE4AuR6b,latin,2000s
5Xhqh4lwJPtMUTsdBztN1a,latin,2020s
7qoyy6rBNCGN27vOEZKgbr,r&b,2010s
6AakzlXIJkSzKCIllG4gdf,rap,~2000
3uSSjnDMmoyERaAK9KvpJR,r&b,2010s
5uCax9HTNlzGybIStD3vDh,pop,2010s
3R260xGpmDkG5eCmgqXrj5,r&b,2000s
6IwKcFdiRQZOWeYNhUiWIv,edm,2000s
3vls6Nh3JXB0a8sIXhnMTo,rock,2000s
1JXMGldyq6kP7gubarTwG1,rap,2020s
3fkPMWQ6cBNBLuFcPyMS8s,rock,~2000
3uiMBldZ07pW0ySHDX5gzE,rock,~2000
0jE4MNnQmOb7cCFssMYA6H,pop,2010s
45s88Xopo6KvHc0PQ05aGg,rock,~2000
0j0W1kwvSblvih5W5nMz6B,rap,2010s
5vJKDteoDcK1uId4IUJSmQ,rock,2010s
076jREnPu9sinABTfdw9Xi,edm,2010s
0X9nRm29fiHY1rKSpm6Jc2,r&b,2010s
0NA3qmF7whDKExwYa6V7WD,edm,2020s
4tKbv8iulXtIEpzHWD6jh7,latin,2000s
5MPxgVGxq79wcoNKtlRaTf,r&b,~2000
71DQycRGgmTXwBAO62jo3B,rap,2000s
1zZvPumuScWPZKZOCC6yq0,rock,~2000
7oV8KkpD0AhguT71yGhudj,edm,2010s
2EjN9jtgovwI8XSYnhoVmf,edm,2000s
15EPc80XuFrb2LmOzGjuRg,rap,2010s
5Q0Nhxo0l2bP3pNjpGJwV1,latin,2000s
0qYvQq3RCHgdJ4XrezSsxs,edm,2000s
20khkbcFHJ63mEJ6nctzcr,r&b,2000s
7KA66zSwthBv5X9bNQEeX1,rock,~2000
1dNmpQ1Ipbft7WyNbMJXX9,latin,2010s
0K1M6vTh1VvhwtGgQj3uNq,pop,2010s
4K2Tu79vpqrLNyDVtCvBNR,rock,2000s
3qX1dqmDdmMvvfMVfsx4Bh,rap,2010s
2PUbdd0s68EfVKlBCUW9Vq,latin,2000s
7q3FTiR32dfAI7JDBiFDRf,latin,2010s
2bRj2mLH4nBgN9XRIA56dk,r&b,~2000
24GaspdcJWLts2R1wurDfW,rock,~2000
45IOnEpVUdxWUZFqpZ7Xvz,latin,2000s
141lghKsBrt4uofVcNBxmD,pop,2000s
59VfSMPf55wSYTdZjQCHN6,latin,2010s
7vidktgNZFQylTgH1GEnMs,rock,~2000
7oiZRx7OZbUAYUiYeFTXrf,pop,2010s
3k58VAgUkM9cSvRpjIVaC7,rock,~2000
3WRQUvzRvBDr4AxMWhXc5E,rap,2010s
577YBGuskWkVDCxZrLRB4v,rap,2010s
7Jz1NLz3hMWWfcQ1M9M6PS,edm,2010s
2zYzyRzz6pRmhPzyfMEC8s,rock,~2000
0cppqb4vQycORHNMxr8DGd,pop,2010s
27SdWb2rFzO6GWiYDBTD9j,edm,2010s
1SFRc2v38EyJ4PN1hJo8bC,edm,2010s
3bN4tg6rnNPy9GCkGhym4T,rock,~2000
0docub2BW5HcsWU4WoOQqA,rock,2010s
63xoPxJFZUrgNKJtnmDPaZ,rock,2000s
1seF5FpRtNXsmNxlEDDxuN,edm,2000s
7jHJ2MzIKO1kIMxGamKRKn,latin,2010s
62OnJq6wHeTppRMWVw2Yo0,r&b,~2000
3bW9ziSoYVMIAB7izmxKSF,rap,2010s
57K5A7o09IOVm4zeMXrARo,rock,~2000
2pwXHvgUsXiGXpWOyohGA2,r&b,~2000
6qUEOWqOzu1rLPUPQ1ECpx,rock,~2000
6H7w7e8zC8QYJyqe7fZHVa,rap,2000s
6kn5z6hltWF6C9rItSvAzA,r&b,~2000
1ZtVN326V42hioNyRjU4P2,rock,2000s
0BTGqPIW9acmhhUmENkq5r,r&b,~2000
5ZIfOjIDOpeoQR0ZFRNtPq,rap,2000s
11nNgQrRDnRZNGrgx1Nl7U,rap,~2000
3Y6XWs8xMlCngyIxNOFnsp,rap,~2000
0SvfyHYDp2uIsHt53LDlI9,rock,~2000
41bIQPBE1lFN0mmw6Lmssz,r&b,2000s
0RgCZbrfpNSRyNmnoym607,pop,2020s
18UDolpvPEqVzIE69xobUQ,rap,2010s
3eS1VMcEmq2IUgpaeDysCb,pop,2010s
4NnWuGQujzWUEg0uZokO5M,rock,~2000
7hvmAHUk63H4JBOQTxUwfx,latin,2010s
56LYsQITV7nEggGBVuu846,pop,2010s
4yI3HpbSFSgFZtJP2kDe5m,latin,2010s
38LrhW3eQSt3cK88dkvl5e,rock,~2000
0rbUh0I28jFr3uXf5MOXEU,pop,2010s
7rdtBpPpe4knfd7aD98h9X,rock,~2000
1XAHwJPBNIBoLfQz81DiNl,r&b,2000s
0sOoGrE5PY5EBDQnR7Yysu,rock,~2000
