track_id,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,era
7vUyjcxGN6qLETksF03PYZ,Without You,Harry Nilsson,0,0.339,0.263,4,-11.977,1,0.0305,0.299,3.92e-06,0.0576,0.158,130.622,200560,rock,2000s
6zSZI2W8Jg8WCNqKma2tPL,Home - Tiësto Vs. twoloud Remix,Dotan,0,0.636,0.871,4,-7.577,0,0.0554,0.000778,0.0027,0.269,0.2,128.173,220920,edm,2010s
2Gl0FzuLxflY6nPifJp5Dr,First Time,Kygo,69,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,193511,pop,2010s
3ydQm9YPQIbmU3nA0FYdjB,You're Not Alone (feat. Kiiara),Don Diablo,50,0.445,0.803,11,-4.055,0,0.0964,0.204,0.00147,0.066,0.4,123.502,187742,edm,2010s
1zTuB57LYZa7xu7KUH8kF0,Baby-Baby-Baby,TLC,52,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,315040,r&b,~2000
7kndgH8ivxIQ8PNDOrtAbW,"Contract (feat. 8 Ball, MJG)",8Ball,30,0.84,0.789,6,-3.909,0,0.377,0.0983,0.0,0.144,0.793,84.06,353440,rap,2000s
1OBStOuPlnIV9qOjol8Mr5,I'm so into You - Radio Remix/With Rap,SWV,0,0.851,0.599,10,-8.503,0,0.163,0.0418,0.000113,0.22,0.667,99.347,254867,r&b,2000s
2zvNrOXk8letDuim2sJpJj,Setwit,Martin Numan,18,0.728,0.963,7,-5.025,0,0.135,0.0272,0.321,0.0748,0.846,127.982,120000,edm,2010s
2QnK6yqqcI4Q25DGlDNc9Y,Rangos,Pekeño 77,10,0.945,0.565,2,-6.194,1,0.159,0.113,6.92e-06,0.0686,0.509,119.938,128880,rap,2010s
2RMDuVUNeFKB98siFzFTNz,Memory - Klaas Radio Mix,Fragma,0,0.732,0.606,8,-6.943,0,0.0547,0.00287,0.000182,0.139,0.903,130.087,204033,edm,2000s
66dypzlpi3DCMFLBsvRU7M,Time After Time,Ballin Entertainment,0,0.671,0.6,1,-10.818,1,0.191,0.0385,0.000966,0.239,0.536,127.963,203938,latin,2000s
0BenZn1xELuxhb7Pjwyjxv,Hooka,Don Omar,60,0.73,0.863,1,-5.082,1,0.154,0.0373,0.0,0.491,0.818,170.014,237973,latin,2010s
69zxj1EFDfAouZu9JDmQld,Secrets - Radio Edit,Tiësto,65,0.677,0.811,11,-4.53,0,0.043,0.0012,0.00761,0.0896,0.185,128.004,216967,pop,2010s
6eB35pgMXdfhz5Z0WjwF1O,Hey Mr. D.J.,Zhané,13,0.865,0.557,2,-8.018,1,0.0612,0.0221,0.00353,0.0973,0.859,101.293,252400,r&b,~2000
27YP211Rr8RezhiFVDLFI8,Waiting For Tomorrow (feat. Mike Shinoda),Martin Garrix,59,0.507,0.887,5,-4.084,0,0.141,0.00731,0.0,0.562,0.336,128.015,247505,edm,2010s
5dL5jv5GSCRoDhTtnY8maL,Mesmerize,Ja Rule,61,0.769,0.646,1,-6.656,1,0.199,0.0566,0.0,0.406,0.432,90.079,278693,r&b,2000s
0FKogsG3NmepRnWu8KSLBB,Keep It Real,Jon B.,28,0.841,0.674,1,-4.217,1,0.122,0.0489,3.86e-05,0.118,0.652,92.22,281040,r&b,2010s
2QgWuCtBpNIpl5trmKCxRf,American Pie,Don McLean,71,0.527,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.317,515867,rock,~2000
7Dm3dV3WPNdTgxoNY7YFnc,The Chain - 2004 Remaster,Fleetwood Mac,63,0.522,0.755,9,-6.95,1,0.0524,0.0517,6.63e-05,0.0781,0.637,151.796,269813,rock,~2000
1Er25HUjQ73Iqc70QfmZPU,Blue Zone,Don Omar,45,0.796,0.712,10,-4.47,0,0.0541,0.0424,0.00032,0.455,0.478,94.97,211093,latin,2000s
12axV6NUqaYH3yFUWwArzr,Losing My Religion,R.E.M.,12,0.671,0.849,9,-5.963,0,0.0283,0.0879,0.0,0.0971,0.801,125.429,269000,rock,2000s
2ORxCzIYVvQYzAUv3iLFfx,The Juice,The Game,35,0.578,0.894,5,-4.591,0,0.16,0.0374,0.0,0.105,0.43,143.168,227560,rap,2010s
4Gf68vwxa69hCiXmJ1jvgj,Azúcar Amargo,Fey,61,0.682,0.948,7,-4.047,1,0.0308,0.0721,0.0,0.0589,0.634,130.058,281520,pop,~2000
122VojpyCCBN3SGQQo77Ra,Shala-Lala-La,Waldeck,51,0.651,0.596,5,-9.944,0,0.0429,0.5,0.062,0.105,0.42,172.782,195118,edm,2010s
7k09lnI8FXcEREvDps6oPJ,Si Te Lastime,Seven Kayne,1,0.742,0.505,6,-5.011,0,0.0958,0.143,0.0,0.118,0.213,140.128,133719,rap,2010s
4mS1Su5zf50QwNcjYjYzG6,Surrender,Cheap Trick,11,0.523,0.954,0,-7.042,1,0.0408,0.00554,8.01e-06,0.755,0.861,133.829,253827,rock,2000s
15XOPzgWmqbnPOdeydhYLu,When You're Mad,Ne-Yo,1,0.66,0.548,6,-7.127,1,0.215,0.364,0.0,0.108,0.436,86.947,222000,r&b,2000s
5g3W328MEzEqIw4yUq6Nx7,Dreamreacher (feat. Dumang),Bakermat,44,0.748,0.534,5,-9.123,1,0.0499,0.397,0.0,0.24,0.487,104.945,170147,latin,2010s
1KHLzYL1noQJJy6JY7txx2,It Never Rains (In Southern California),Tony! Toni! Toné!,11,0.718,0.469,5,-9.655,1,0.048,0.27,0.0,0.0469,0.826,79.901,302160,r&b,2000s
29a1MGb3WfxfPUUQl40gYA,Ruins,William Black,44,0.444,0.723,5,-6.496,1,0.0467,0.0495,0.0,0.186,0.241,170.008,243529,rap,2010s
0xOsIqxmLswEsKFGLwE5c5,Love Game,Eminem,0,0.778,0.942,9,-2.525,1,0.178,0.355,0.0,0.626,0.687,105.517,296953,pop,2010s
3mRC75ORY0GOABiqe1uZIg,Sexy Robotica,Don Omar,0,0.741,0.867,6,-5.138,1,0.0334,0.000443,5.6e-06,0.449,0.561,112.011,233987,latin,2000s
44f68Zu5X9gJ44ziVnaYoR,La Despedida,Daddy Yankee,7,0.746,0.993,2,-2.134,0,0.0499,0.0866,0.0548,0.0689,0.972,122.046,202827,latin,2010s
6IDHh3FcwLVcG5NsmpQgg2,It's a Sin - 2001 Remaster,Pet Shop Boys,65,0.538,0.86,0,-5.916,0,0.0435,0.252,0.000527,0.247,0.291,127.153,299307,rock,~2000
58ASzIQ5TBNQuAvCOZorjF,Hard Boy,Frawley,60,0.516,0.825,4,-3.209,1,0.147,0.188,0.0,0.165,0.424,180.006,192347,r&b,2010s
1GBknQ67DCfKTPms1dw9EW,Nobody's Perfect,Hannah Montana,56,0.594,0.977,8,-4.193,1,0.0646,0.0597,3.49e-06,0.309,0.793,131.976,200827,pop,2000s
1qy5sw8ktKkokAjaxc5UX1,You Called And Told Me - Jeff Redd,Various Artists,28,0.715,0.879,1,-6.505,0,0.0403,0.0745,2.85e-06,0.371,0.661,107.088,338253,r&b,2000s
3LUWWox8YYykohBbHUrrxd,We R Who We R,Kesha,71,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,pop,2010s
2MbrVxNKpsg0bu9LMlPiri,WAKE ME UP,THE RAMPAGE from EXILE TRIBE,35,0.608,0.961,2,-2.259,1,0.124,0.023,0.0,0.294,0.366,137.9,240100,pop,2020s
4rstj4vgkFq49R2VV0fbxX,"Build God, Then We'll Talk",Panic! At The Disco,59,0.418,0.827,11,-4.133,0,0.0476,0.138,0.0,0.336,0.448,124.532,220720,rock,2000s
1D2QnxvMOac95EG9C0KbsJ,So In Love,Orchestral Manoeuvres In The Dark,53,0.599,0.805,5,-7.07,1,0.0277,0.0863,0.0013,0.566,0.962,120.049,209360,rock,~2000
1PggZZlGqKsfc8u8PGxBHy,Layup,Big K.R.I.T.,37,0.579,0.735,7,-7.266,0,0.0489,0.341,0.0,0.088,0.411,137.98,260952,r&b,2010s
7cz506PyIgh2bMN90Mc8Tn,Boasty (feat. Idris Elba),Wiley,74,0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958,177186,latin,2010s
0McI9sOmkpfd4E72njtU0G,Borrowed Love (feat. Swae Lee & WizKid),Metro Boomin,2,0.52,0.594,11,-8.81,0,0.462,0.44,0.0,0.185,0.393,129.216,230240,r&b,2010s
3aoDEt6zSuYQ47gzarlaVo,Money - 2011 Remastered Version,Pink Floyd,15,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834,rock,~2000
41L3O37CECZt3N7ziG2z7l,Yummy,Justin Bieber,95,0.662,0.519,9,-6.554,0,0.106,0.404,0.0,0.121,0.495,145.841,210427,latin,2020s
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,78,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,202747,pop,2010s
4LwOrnuxJwR7C5Sw4liY4Z,What's Your Fantasy (Featuring Shawna),Ludacris,63,0.915,0.79,6,-3.186,0,0.207,0.16,0.0,0.112,0.967,140.095,275907,rap,2000s
4lbhQdbiTpNP7GowZG8KsM,Don't Treat Me Bad,Firehouse,55,0.616,0.807,8,-11.4,1,0.0348,0.000303,2.37e-05,0.193,0.637,111.054,235360,rock,~2000
2RFINeQiVYWfpo10rF28gi,VvsNike (Prod. Olek),Malik Montana,55,0.837,0.43,1,-11.284,1,0.322,0.623,0.0,0.1,0.721,80.984,151109,rap,2010s
0KsWvegLnQmb6SXbQ32FAi,Dancing in the Dark,Bruce Springsteen,9,0.531,0.927,11,-7.592,1,0.0378,0.0333,5.62e-06,0.184,0.549,148.176,242533,pop,2000s
3hwRqmhC1gL2Ut6OMtKbQJ,Guajiro,Sexto Sentido,13,0.614,0.584,7,-8.449,1,0.0498,0.663,0.000304,0.167,0.931,96.76,201467,r&b,2010s
4OwMnNi3kC2DEIrxMTHc3M,Johnny And Mary,Robert Palmer,6,0.666,0.547,2,-12.841,1,0.0433,0.0287,0.142,0.0268,0.97,152.876,237973,pop,~2000
2usxQITOSDqvkYiI0oIwao,You should be sad,Halsey,86,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,205473,pop,2020s
4TvCfnDm6O1gRSNA8p3ur7,Story Of A Quarryman,Joe Bonamassa,22,0.407,0.802,4,-5.957,0,0.0915,0.0996,0.000636,0.351,0.427,143.938,298107,rap,2000s
5Mq7ntOR1DsoLiBzunBqHp,Bittersweet (ft. Quarterback) - Junior J Remix,Nicky Romero,0,0.389,0.864,4,-2.032,1,0.0518,0.0887,0.0,0.705,0.441,121.323,197857,edm,2010s
7e7YCETIA8xoF9IlWR64Xz,Fuck Tha World,Lil Wayne,34,0.561,0.763,8,-6.328,0,0.322,0.0846,0.0,0.0622,0.78,82.158,286200,rap,~2000
1plcM0XlbKdjND7Ufokuzb,Honky Cat,Elton John,57,0.48,0.776,2,-5.65,1,0.0432,0.334,0.000217,0.133,0.95,171.135,313027,rock,~2000
2D1hlMwWWXpkc3CZJ5U351,P.I.M.P.,50 Cent,65,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467,rap,2000s
4iGBPovu7Hy7TUg6Wk6pjt,The Dirt (Est. 1981) [feat. Machine Gun Kelly],Mötley Crüe,56,0.421,0.859,1,-4.333,1,0.0694,0.000103,0.000248,0.1,0.373,166.099,232000,rock,2010s
10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,Captain & Tennille,48,0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,203600,rock,~2000
364spZLB5bhNlnPrzvUB41,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,79,0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,183589,rap,2010s
1NkNSncDRaf3VSlNjQHTa8,Lento,Nio Garcia,47,0.8,0.556,8,-3.818,0,0.29,0.172,2.28e-05,0.112,0.81,188.044,214475,latin,2010s
7lxunsaDjpbHFvVs9Db0O7,Jupiter - Radio Edit,East & Young,30,0.601,0.935,6,-3.96,1,0.0468,0.000524,0.848,0.111,0.112,126.025,212381,edm,2010s
0TiXAAVOLdhZnto4Kwsgtm,White Queen (As It Began) - Remastered 2011,Queen,35,0.242,0.296,9,-12.441,0,0.0358,0.829,3.79e-05,0.133,0.172,153.293,273200,rock,~2000
